| Caso | Precondicion | Estado |
| 23 | Disponer de un usuario que tenga un contrato de Banca a distancia | OK |
| 23 | tipo Particular | OK |
| 23 | que posea de un contrato de Avisos y Alertas | OK |
| 23 | Varias cuentas a la vista | OK |
| 23 | Con saldo | OK |
| 23 | este debe tener configurado un tipo de firma vTPC1 o vTPC2 | OK |
| 23 | tiene que estar enrolado con un dispositivo | KO |
| 23 | y tener una cuenta asociado a este dispositivo | KO |
| 23 | El usuario debe tener diversos movimientos Pendientes | KO |
| 25 | Disponer de un usuario que tenga un contrato de Banca a distancia | OK |
| 25 | tipo Particular | OK |
| 25 | que posea de un contrato de Avisos y Alertas | OK |
| 25 | Varias cuentas a la vista | OK |
| 25 | Con saldo | OK |
| 25 | este debe tener configurado un tipo de firma vTPC1 o vTPC2 | OK |
| 25 | este usuario debe estar enrolado en otra entidad diferente a Banc Sabadell en el servicio de bizum | KO |
| 27 | Disponer de un usuario que tenga un contrato de Banca a distancia | OK |
| 27 | tipo Particular | OK |
| 27 | que posea de un contrato de Avisos y Alertas | OK |
| 27 | Varias cuentas a la vista | OK |
| 27 | Con saldo | OK |
| 27 | este debe tener configurado un tipo de firma vTPC1 o vTPC2 | OK |
| 27 | tiene que estar enrolado con un dispositivo | KO |
| 27 | y tener una cuenta asociado a este dispositivo | KO |
| 29 | Disponer de un usuario que tenga un contrato de Banca a distancia | OK |
| 29 | tipo Particular | OK |
| 29 | que posea de un contrato de Avisos y Alertas | OK |
| 29 | Varias cuentas a la vista | OK |
| 29 | Con saldo | OK |
| 29 | este debe tener configurado un tipo de firma vTPC1 o vTPC2 | OK |
| 29 | tiene que estar enrolado con un dispositivo | KO |
| 29 | y tener una cuenta asociada a este dispositivo | KO |
| 29 | disponer del teléfono del cliente al que enviaremos el dinero | KO |
| 29 | este debe estar enrolado en la aplicación y tener activado Bizum | KO |
| 31 | Disponer de un usuario que tenga un contrato de Banca a distancia | OK |
| 31 | tipo Particular | OK |
| 31 | que posea de un contrato de Avisos y Alertas | OK |
| 31 | Varias cuentas a la vista | OK |
| 31 | una de ellas concretamente la cuenta la cual se va a utilizar para hacer el envío que no disponga de saldo suficiente | KO |
| 31 | este debe tener configurado un tipo de firma vTPC1 o vTPC2 | OK |
| 31 | tiene que estar enrolado con un dispositivo | KO |
| 31 | y tener una cuenta asociada a este dispositivo | KO |
| 33 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 33 | tipo particular | OK |
| 33 | que este enrolado en Bizum | KO |
| 33 | Disponga de dinero en la cuenta | OK |
| 33 | disponer de 3 números de teléfono que estén dados de alta en la White list para poder realizar la operación de envío múltiple | KO |
| 37 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 37 | tipo Particular | OK |
| 37 | y este inscrito en otra entidad en el servicio de Pagos inmediatos | KO |
| 39 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 39 | tipo Particular | OK |
| 39 | con firma VTPC1 | OK |
| 39 | que este enrolado en Bizum | KO |
| 39 | Disponga de alguna solicitud de dinero recibida | KO |
| 41 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 41 | tipo Particular | OK |
| 41 | con firma VTPC1 | OK |
| 41 | que este enrolado en Bizum | KO |
| 41 | y disponer de 3 destinatarios que tengan el bizum enrolado | KO |
| 45 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 45 | tipo Particular | OK |
| 45 | con firma VTPC1 | OK |
| 45 | que este enrolado en Bizum | KO |
| 48 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 48 | tipo Particular | OK |
| 48 | con tipo de firma VTPC1 | OK |
| 48 | y este enrolado en Bizum | KO |
| 55 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 55 | tipo Particular puro de Urquijo que posea más de una cartera | KO |
| 57 | Disponer de un usuario | OK |
| 57 | de tipo Particular | OK |
| 57 | que contenga más de 20 cuentas vista | OK |
| 57 | con un tipo de firma VTPC2 | OK |
| 59 | Disponer de un usuario con un contrato de banca a distancia particular | OK |
| 59 | Usuario debe tener tipo de firma vTPC2 o vTPC3 | OK |
| 59 | Usuario con al menos una tarjeta MC o Visa con saldo disponible para la compra | OK |
| 61 | Disponer de un usuario con un contrato de banca a distancia particular | OK |
| 61 | Usuario debe tener tipo de firma vTPC2 | OK |
| 61 | Usuario con al menos una tarjeta MasterCard o Visa activas y con saldo disponible | OK |
| 65 | Disponer de un usuario con un contrato de banca a distancia particular | OK |
| 65 | Usuario debe tener tipo de firma vTPC1 | OK |
| 65 | Usuario con al menos una tarjetaactivas | OK |
| 65 | Con saldo disponible | OK |
| 66 | Disponer de un usuario con un contrato de banca a distancia particular | OK |
| 66 | Usuario debe tener tipo de firma vTPC1 | OK |
| 66 | Usuario con al menos una tarjetaactivas | OK |
| 66 | Con saldo disponible | OK |
| 67 | Disponer de un usuario con un contrato de banca a distancia particular | OK |
| 67 | Usuario debe tener tipo de firma vTPC2 | OK |
| 67 | Usuario con al menos una tarjetaactivas | OK |
| 67 | Con saldo disponible | OK |
| 71 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 71 | tipo Particular | OK |
| 71 | que disponga de documentos documentos | KO |
| 73 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 73 | tipo Particular | OK |
| 73 | que disponga de cuentas | OK |
| 75 | Usuario particular con firma vTPC1 o vTPC2 | OK |
| 75 | Con una cuenta Ahorro Expansión activa | KO |
| 76 | Disponer de un usuario que contenga un contrato de Banca a distancia | OK |
| 76 | tipo Particular | OK |
| 76 | que cumpla con lo requisitos de Iselling para poder contratar una cuenta CIALP | KO |
| 77 | Disponer de un usuario que contenga un contrato de Banca a distancia | OK |
| 77 | tipo Particular | OK |
| 77 | que cumpla con lo requisitos de Iselling para poder contratar una cuenta | KO |
| 78 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 78 | tipo Particular | OK |
| 78 | que disponga de una cuenta con más de 20 movimientos en los últimos 90 días | OK |
| 80 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 80 | tipo Particular | OK |
| 80 | que disponga de una cuenta con uno o varias | OK |
| 80 | Con movimientos con tarjeta de crédito | OK |
| 82 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 82 | tipo Particular | OK |
| 82 | que posea hasta un máximo de 4 cuentas | OK |
| 82 | con movimientos por cobro de recibo | KO |
| 82 | Disponga de timeline | KO |
| 84 | Disponer de un usuario | OK |
| 84 | de tipo Particular | OK |
| 84 | que disponga de cuentas a la vista | OK |
| 84 | Una este marcada como no visualizarla por BSO | OK |
| 86 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 86 | tipo Particular | OK |
| 86 | que posea cuenta expansión | KO |
| 86 | con un movimiento de transferencia internacional común realizado recientemente y que dicha transferencia no haya generado comisión | KO |
| 86 | Debe tener hasta un máximo de 4 cuentas | OK |
| 86 | y disponer de timeline | KO |
| 88 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 88 | tipo Particular | OK |
| 88 | que posea cuenta expansión | KO |
| 88 | con un movimiento de transferencia nacional común realizado recientemente y que dicha transferencia no haya generado comisión | KO |
| 88 | Debe tener hasta un máximo de 4 cuentas | OK |
| 90 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 90 | tipo Particular | OK |
| 90 | que posea cuenta que no sea expansión | KO |
| 90 | Un movimiento de transferencia realizado recientemente sin comisión | KO |
| 90 | Debe tener hasta un máximo de 4 cuentas | OK |
| 90 | y disponer de timeline | KO |
| 92 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 92 | tipo Particular | OK |
| 92 | que posea hasta un máximo de 4 cuentas | OK |
| 92 | sin movimientos | OK |
| 92 | Disponga de timeline | KO |
| 94 | Disponer de un usuario que disponga de un contrato de banca a distancia | OK |
| 94 | tipo Particular | OK |
| 94 | Pueda acceder como agente desde el acceso a Particulares | KO |
| 96 | Usuario con BD Particular | OK |
| 96 | con al menos una cuenta de la que sea titular | KO |
| 98 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 98 | tipo Particular | OK |
| 98 | Posea diversas cuentas | OK |
| 98 | alguna con muchos movimientos en los últimos 2 años | OK |
| 99 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 99 | tipo Particular | OK |
| 99 | que disponga de una cuenta con movimientos | OK |
| 101 | Usuario particular con firma vTPC1 o vTPC2 | OK |
| 101 | Con Ahorro Expansión con rutina del Tiempo Desactivada | KO |
| 103 | Usuario particular con firma vTPC1 o vTPC2 | OK |
| 103 | Con Ahorro Expansión con rutina de Redondeo activa | KO |
| 105 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 105 | tipo Particular | OK |
| 105 | Posea diversas cuentas con movimientos | OK |
| 107 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 107 | tipo Particular | OK |
| 107 | que disponga de al menos una cuenta que nunca haya tenido movimientos | OK |
| 107 | Esta prueba verifica el mensaje de una cuenta sin movimientos | KO |
| 109 | Disponer de un usuario que tenga un contrato de banca a distancia de tipo Particular dado de alta | OK |
| 109 | Disponga de diversas cuentas | OK |
| 109 | este usuario debe haber entrado como mínimo una vez en BSO | OK |
| 109 | disponer de un usuario con tipo de firma vTPC1 o vTPC2 | OK |
| 113 | Disponer de un usuario que tenga un contrato de banca a distancia de tipo Particular dado de alta | OK |
| 113 | Disponga de diversas cuentas | OK |
| 113 | este usuario debe haber entrado como mínimo una vez en BSO | OK |
| 115 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 115 | tipo Particular | OK |
| 115 | que tenga una cuenta que no haya tenido nunca movimientos | OK |
| 117 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 117 | tipo Particular | OK |
| 117 | que disponga de una cuenta con | OK |
| 117 | Con movimientos de hace más de 90 días | OK |
| 117 | y no salte SCA en el login | KO |
| 119 | Disponer de un usuario que disponga de un contrato de banca a distancia | OK |
| 119 | tipo Particular | OK |
| 119 | Pueda acceder como agente desde el acceso a particulares | OK |
| 119 | para realizar esta prueba se facilitan los siguientes datos en la columna datos de prueba | KO |
| 121 | Usuario con + de 3 cuentas | OK |
| 124 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 124 | de tipo Particular | OK |
| 124 | Haya actualizado el DNI | KO |
| 124 | Usuario objetivo: Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 124 | de tipo Particular | OK |
| 124 | debe tener Dni Caducado o sin informar | OK |
| 124 | el usuario debe tener contrato de avisos y alertas activo | OK |
| 126 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 126 | de tipo Particular | OK |
| 126 | Usuario objetivo: Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 126 | de tipo Particular | OK |
| 126 | debe tener Dni Caducado o sin informar | OK |
| 126 | el usuario debe tener contrato de avisos y alertas activo | OK |
| 128 | Disponer de un usuario que disponga de un contrato de banca a distancia | OK |
| 128 | tipo Particular | OK |
| 128 | No tenga el DNI actualizado | OK |
| 128 | Usuario objetivo: Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 128 | de tipo Particular | OK |
| 128 | debe tener Dni Caducado o sin informar | OK |
| 128 | el usuario debe tener contrato de avisos y alertas activo | OK |
| 132 | Usuario con banca distancia particulares | OK |
| 132 | DNI caducado | OK |
| 134 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 134 | de tipo Particular | OK |
| 134 | que disponga de diversas cuentas a la vista activas | OK |
| 134 | Alguna de estas cuentas disponga de domiciliaciones | KO |
| 136 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 136 | de tipo Particular | OK |
| 136 | que disponga de diversas cuentas a la vista activas | OK |
| 136 | Alguna de estas cuentas disponga de domiciliaciones de pago bloqueadas | KO |
| 138 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 138 | de tipo Particular | OK |
| 138 | que tenga cuentas | OK |
| 138 | Alguna de ellas disponga de saldo | OK |
| 138 | disponer de un usuario que tenga un tipo de firma vTPC1 o vTPC2 | OK |
| 140 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 140 | tipo Particular | OK |
| 140 | Dadas de alta varias cuentas a la vista | OK |
| 140 | disponer de un usuario con tipo de firma VTPC1 | OK |
| 142 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 142 | tipo Particular | OK |
| 146 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 146 | tipo Particular | OK |
| 146 | con línea expansión activa | OK |
| 146 | que posea más de una disposición pendiente de amortizar | KO |
| 150 | Disponer de un usuario que disponga de un contrato de banca a distancia | OK |
| 150 | tipo Particular | OK |
| 150 | con una Línea Expansión con morosidad | KO |
| 152 | Disponer de un usuario válido para acceder a Blink Seguros con Precotizaciones | KO |
| 154 | Disponer de esta URL que es un simulador para poder realizar esta prueba | KO |
| 154 | y localizar un Usuario con contrato de banca a distancia Particular | OK |
| 154 | y firma VTPC1 | OK |
| 156 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 156 | de tipo Particular | OK |
| 156 | y firma VTPC2 | OK |
| 158 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 158 | tipo Particular | OK |
| 158 | pilotado con DENY en el login | KO |
| 160 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 160 | de | OK |
| 160 | de tipo Particular | OK |
| 160 | que disponga de un tipo de firma VTPC1 | OK |
| 162 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 162 | de | OK |
| 162 | de tipo Particular | OK |
| 162 | que disponga de un tipo de firma VTPC2 | OK |
| 164 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 164 | de | OK |
| 164 | de tipo Particular | OK |
| 164 | y firma VTPC1 | OK |
| 168 | Disponer de un usuario que disponga de un contrato de banca a distancia | OK |
| 168 | tipo Particular | OK |
| 168 | que tenga una firma VTPC2 | OK |
| 168 | Este bloqueada | KO |
| 171 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 171 | tipo Particular | OK |
| 174 | Usuario particular con firma vTPC1 o vTPC2 | OK |
| 174 | Con Tarjetas de beneficiarios pero ingresando desde la banca distancia del Titular de la cuenta de la misma | KO |
| 175 | Usuario BSO Particular con firma VTPC1 o VTPC2 | OK |
| 175 | Usuario con tarjeta de crédito | OK |
| 175 | con forma de pago Todo el saldo pendiente | KO |
| 177 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 177 | tipo Particular | OK |
| 177 | Usuario con tarjeta de crédito | OK |
| 179 | Disponer de un usuario que tenga un contrato de banca a distancia | OK |
| 179 | de tipo Particular | OK |
| 179 | con tipo de firma vTPC1 o vTPC2 | OK |
| 179 | que tenga contratadas cuentas a la vista | OK |
| 179 | que dispongan de saldo suficiente | OK |
| 179 | disponer de un numero de Tarjeta extranjera | KO |
| 179 | disponer de los servicios de redsys activos | KO |
| 181 | Disponer de un usuario que tenga un contrato de banca a distancia | OK |
| 181 | de tipo Particular | OK |
| 181 | con tipo de firma vTPC1 o vTPC2 | OK |
| 181 | que tenga contratadas cuentas a la vista | OK |
| 181 | que dispongan de saldo suficiente | OK |
| 181 | disponer de un numero de Tarjeta extranjera | KO |
| 183 | Disponer de un usuario que tenga un contrato de banca a distancia | OK |
| 183 | de tipo Particular | OK |
| 183 | con tipo de firma vTPC1 | OK |
| 183 | que tenga contratadas cuentas a la vista | OK |
| 183 | que dispongan de saldo suficiente | OK |
| 183 | De la cuenta que se utilice sea autorizado | KO |
| 183 | disponer de un numero de Tarjeta extranjera | KO |
| 183 | disponer de los servicios de redsys activos | KO |
| 187 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 187 | de tipo Particular | OK |
| 187 | Disponga de tarjetas de crédito | OK |
| 189 | Disponer de un usuario particular | OK |
| 189 | que tenga varias tarjetas | OK |
| 189 | Por lo menos tenga una tarjeta asociada a una cuenta con movimientos | OK |
| 189 | La tarjeta tiene que ser con plástico activo | KO |
| 193 | Disponer de un usuario particular | OK |
| 193 | que tenga varias tarjetas | OK |
| 193 | Por lo menos tenga una tarjeta asociada a una cuenta con movimientos | OK |
| 193 | La tarjeta tiene que ser con plástico activo | KO |
| 197 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 197 | tipo particular | OK |
| 197 | Disponga de una tarjeta de crédito en la cual sea beneficiario | KO |
| 199 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 199 | tipo particular | OK |
| 199 | Disponga de una tarjeta de débito en la cual sea beneficiario | KO |
| 201 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 201 | tipo particular | OK |
| 201 | Sea titular de un contrato de tarjeta de crédito cuyo titular de la tarjeta sea otra persona | KO |
| 203 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 203 | tipo particular | OK |
| 203 | Disponga de una tarjeta Via T | KO |
| 205 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 205 | tipo particular | OK |
| 205 | con firma VTPC1 o VTPC2 | OK |
| 205 | Disponga de una tarjeta de débito y una tarjeta de crédito | OK |
| 206 | Disponer de un usuario que disponga de un contrato de banca a distancia | OK |
| 206 | tipo Particular | OK |
| 206 | que disponga de una tarjeta tipo Menú Card pendiente de activar | KO |
| 209 | Disponer de un usuario particular | OK |
| 209 | que tenga varias tarjetas | OK |
| 209 | Por lo menos tenga una tarjeta asociada a una cuenta con movimientos | OK |
| 211 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 211 | tipo particular | OK |
| 211 | Tenga una o varias tarjetas de crédito | OK |
| 213 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 213 | tipo particular | OK |
| 213 | Tenga una o varias tarjetas de crédito | OK |
| 215 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 215 | tipo particular | OK |
| 215 | Tenga una o varias tarjetas de crédito | OK |
| 216 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 216 | tipo particular | OK |
| 216 | Tenga una o varias tarjetas de crédito | OK |
| 218 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 218 | tipo particular | OK |
| 218 | Tenga una o varias Tarjetas Repsol | KO |
| 220 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 220 | tipo particular | OK |
| 220 | Tenga una o varias tarjetas de crédito | OK |
| 222 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 222 | tipo Particular | OK |
| 222 | que tenga cuentas asociadas | OK |
| 222 | Al menos una de ellas tenga saldo | OK |
| 222 | Disponer de un usuario que tenga tarjetas activas y operativas | OK |
| 222 | De firma digital VTPC1 o VTPC2 | OK |
| 224 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 224 | tipo Particular | OK |
| 224 | que tenga cuentas asociadas | OK |
| 224 | Al menos una de ellas tenga saldo | OK |
| 224 | Disponer de un usuario que tenga tarjetas activas y operativas | OK |
| 226 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 226 | tipo Particular | OK |
| 226 | que disponga de al menos un Plan de Pensiones | OK |
| 226 | Tenga configurada un tipo de firma vTPC1 o vTPC2 | OK |
| 228 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 228 | tipo Particular | OK |
| 228 | que disponga de al menos un Plan de pensiones | OK |
| 229 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 229 | tipo Particular | OK |
| 229 | que disponga de al menos un Plan de previsión de asegurado | OK |
| 230 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 230 | tipo Particular | OK |
| 230 | que disponga de al menos un Plan de previsión asegurado | OK |
| 230 | Tenga configurada un tipo de firma vTPC1 o vTPC2 | OK |
| 232 | Usuario autónomo | OK |
| 232 | con contrato de banca distancia de particular | OK |
| 232 | y autónomo que pueda acceder desde el segmento de particulares | KO |
| 232 | Planes de pensiones de autónomos contratados | OK |
| 234 | Disponer de un usuario que disponga de un contrato de banca a distancia | OK |
| 234 | tipo Particular | OK |
| 234 | que tenga cuentas a la vista | OK |
| 236 | Disponer de un usuario que disponga de un contrato de banca a distancia | OK |
| 236 | tipo Particular | OK |
| 236 | que tenga asociada un tipo de firma vTPC2 | OK |
| 238 | Disponer de un usuario que contenga un contrato de Banca a distancia | OK |
| 238 | tipo Particular | OK |
| 238 | que disponga de una cuenta vista | OK |
| 238 | Contratado el nuevo plan de ahorro | KO |
| 240 | Disponer de un usuario que contenga un contrato de Banca a distancia | OK |
| 240 | tipo Particular | OK |
| 240 | que disponga de una cuenta vista | OK |
| 240 | Contratado el nuevo plan de ahorro | KO |
| 242 | Disponer de un usuario que contenga un contrato de Banca a distancia | OK |
| 242 | tipo Particular | OK |
| 242 | que disponga de una cuenta vista | OK |
| 242 | Contratado el nuevo plan de ahorro | KO |
| 246 | Disponer de un usuario que disponga de un contrato de banca a distancia | OK |
| 246 | tipo Particular | OK |
| 246 | con tipo de firma VTPC1 o VTPC2 | OK |
| 246 | Disponga de diversos planes de ahorro | KO |
| 248 | Usuario con más de un titular | KO |
| 248 | contrato de banca distancia particular | OK |
| 248 | con préstamo preconcedido Bureaux N | KO |
| 248 | con un SCL | KO |
| 248 | y cuenta con más de un titular | KO |
| 249 | Disponer de un usuario que disponga de contrato de banca a distancia | OK |
| 249 | tipo Particular | OK |
| 249 | y Préstamo Sabadell preconcedido | KO |
| 251 | Disponer de un usuario que tenga un contrato de banca a distancia | OK |
| 251 | tipo Particular | OK |
| 251 | Disponga de Transferencias periódicas dadas de alta | KO |
| 251 | disponer de un usuario con tipo de firma vTPC1 o vTPC2 | OK |
| 253 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 253 | tipo Particular | OK |
| 253 | con VTPC2 | OK |
| 253 | que disponga de transferencias Internacionales efectuadas | KO |
| 255 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 255 | tipo Particular | OK |
| 255 | con VTPC2 | OK |
| 255 | que disponga de transferencias efectuadas | KO |
| 257 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 257 | tipo Particular | OK |
| 257 | con firma VTPC2 | OK |
| 257 | y disponer de una cuenta del grupo para poder hacer una transferencia en Divisa | KO |
| 261 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 261 | tipo Particular | OK |
| 261 | con firma VTPC2 | OK |
| 261 | El usuario debe de disponer de una cuenta en divisa distinta al EUR | KO |
| 263 | Disponer de un Usuario que tenga un contrato de banca a distancia | OK |
| 263 | de tipo Particular | OK |
| 263 | y sea empleado | KO |
| 263 | que tenga dado de alta un contrato de Avisos y Alertas | OK |
| 263 | que disponga de cuentas asociadas | OK |
| 263 | que al menos una de ellas disponga de saldo | OK |
| 263 | Tenga un tipo de firma vTPC2 | OK |
| 265 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 265 | tipo Particular | OK |
| 265 | con firma VTPC2 | OK |
| 265 | que tenga una cuenta bloqueada | KO |
| 267 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 267 | tipo Particular | OK |
| 267 | con firma VTPC2 | OK |
| 267 | que no disponga de saldo en la cuenta origen | KO |
| 269 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 269 | de tipo Particular | OK |
| 269 | con firma VTPC2 | OK |
| 269 | que disponga de mas de una cuenta vista | OK |
| 269 | Con saldo | OK |
| 269 | y la cuenta de cargo debe de tener al menos dos titulares | KO |
| 271 | Disponer de un 2 usuarios que contengan un contrato de banca a distancia | OK |
| 271 | tipo Particular | OK |
| 271 | que dispongan de una cuenta en la cual el tipo de firma sea mancomunada | KO |
| 271 | con VTPC2 configurada | OK |
| 271 | en la cual deban firmar los 2 intervinientes | KO |
| 271 | y la cuenta disponga de saldo | OK |
| 275 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 275 | de tipo Particular | OK |
| 275 | con tipo de firma VTPC1 | OK |
| 275 | que disponga de cuentas a la vista | OK |
| 275 | que disponga de saldo | OK |
| 277 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 277 | de tipo Particular | OK |
| 277 | con firma VTPC2 | OK |
| 277 | que disponga de mas de una cuenta vista | OK |
| 277 | Con saldo | OK |
| 278 | Disponer de un usuario que disponga de un contrato de banca a distacia | OK |
| 278 | tipo Particular | OK |
| 278 | con firma VTPC2 | OK |
| 278 | para poder hacer una transferencia para poder superar el limite diario | KO |
| 282 | Tener usuario Particular | OK |
| 282 | Tipo de firma indistinto | KO |
| 282 | 1 de sus cuentas ha de estar en negativo | KO |
| 284 | Tener usuario Particular | OK |
| 284 | Tipo de firma indistinto | KO |
| 284 | La cuenta de origen no ha de tener saldo al descubierto permitido | KO |
| 286 | Tener usuario Particular | OK |
| 286 | Tipo de firma indistinto | KO |
| 286 | Revisar el límite diario de transferencias nacionales del usuario | KO |
| 286 | y suficiente saldo para superarlo | KO |
| 288 | Usuario Particular | OK |
| 288 | Tipo de firma VTPC2 | OK |
| 290 | Tener un usuario Particular | OK |
| 290 | Tipo de firma indistinto | KO |
| 291 | Tener un usuario Particular | OK |
| 291 | Tipo de firma VTPC2 | OK |
| 293 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 293 | de tipo Particular | OK |
| 293 | que disponga de al menos una cuenta | OK |
| 293 | Con saldo | OK |
| 293 | Esta cuenta disponga de firma conjunta | KO |
